"ID","admin","age","sex","zone","gang","family","other","risk"
"Newton 1-17-207-1",2,13,2,12,NA,1.336409576,0.903750716,-1.691172544
"Newton 1-17-208-1",2,24,1,12,NA,-0.885597656,-3.738352704,-3.986346087
"Newton 1-17-225-1",2,18,1,12,NA,0.443905315,1.073626415,2.13535225
"Newton 1-17-226-1",2,15,2,12,NA,1.199508697,NA,-0.387802283
"Newton 1-17-227-1",2,18,1,12,NA,1.357477609,2.352259159,-3.986346087
"Newton 1-17-230-1",2,20,1,12,NA,4.05532726,-3.271019784,-3.24503815
"Newton 1-17-231-1",2,18,1,12,NA,2.811290223,-0.198790503,-2.956039882
"Newton 1-17-232-1",2,22,1,12,NA,0.022782309,-0.57210547,-3.408349552
"Newton 1-17-233-1",2,15,2,12,NA,3.494875874,NA,-2.956039882
"Newton 1-17-276-2",2,16,1,NA,NA,2.965770387,NA,-3.24503815
"Newton 1-17-49-2",2,17,2,12,-5.426020341,1.458870738,NA,-3.24503815
"Newton 1-17-56-2",2,16,2,12,NA,2.697471818,0.272393258,1.451771518
"Newton 1-17-59-2",2,21,1,12,NA,3.715941267,-0.730793312,-3.353912418
"Newton 2-23-113-1",2,14,2,13,NA,-4.243775896,-0.577227297,-1.800046812
"Newton 2-23-113-2",2,16,2,13,NA,NA,NA,0.141821114
"Newton 2-23-126-1",2,16,1,13,1.970427982,2.683879562,-1.030250852,2.464930475
"Newton 2-23-129-2",2,25,1,13,NA,-5.653893358,NA,-1.402174276
"Newton 2-23-130-1",2,15,1,13,NA,-0.154530052,1.10346175,-2.721478749
"Newton 2-23-135-1",2,22,2,13,NA,-1.363922078,-0.522624074,-2.956039882
"Newton 2-23-138-1",2,20,1,13,NA,-0.635965979,-0.961730121,-5.142339157
"Newton 2-23-139-1",2,23,2,13,NA,4.543259978,-1.069300915,-4.455468354
"Newton 2-23-141-1",2,18,1,13,NA,0.118449624,-1.037587868,-2.557985851
"Newton 2-23-15-1",2,26,1,13,NA,-5.266591683,0.201115684,-5.485774559
"Newton 2-23-151-1",2,24,1,13,-7.33766016,4.355328172,-0.409716583,-1.410308332
"Newton 2-23-156-1",2,26,1,13,-7.116504327,4.425506311,-2.155682247,-3.534036417
"Newton 2-23-167-1",2,19,1,13,NA,-2.183387356,NA,-2.358791886
"Newton 2-23-175-1",2,15,2,13,NA,3.562020592,-1.054626884,-2.956039882
"Newton 2-23-183-1",2,17,1,13,NA,3.500684148,-1.456168724,-3.642910686
"Newton 2-23-185-1",2,20,2,13,NA,1.569463016,-0.652205915,-4.329781489
"Newton 2-23-198-1",2,18,1,13,NA,2.706903667,0.099031384,-3.877471819
"Newton 2-23-200-2",2,16,2,NA,NA,-1.737429671,NA,-2.08904508
"Newton 2-23-201-1",2,18,2,13,NA,-0.155886282,-5.276513795,-5.485774559
"Newton 2-23-204-1",2,19,2,13,NA,-1.353826017,-0.418539455,-5.485774559
"Newton 2-23-210-1",2,18,1,13,NA,1.372967412,-1.882086595,-0.410343816
"Newton 2-23-215-1",2,16,1,13,NA,2.368695763,2.422630412,-3.010477016
"Newton 2-23-216-1",2,18,1,13,NA,0.799848718,0.801274559,-2.378043347
"Newton 2-23-217-1",2,29,1,13,NA,NA,0.114949211,-5.485774559
"Newton 2-23-218-1",2,30,2,13,NA,-2.956390461,-0.722212501,-2.956039882
"Newton 2-23-219-1",2,23,1,13,NA,2.181690377,-1.263917312,1.236434669
"Newton 2-23-220-1",2,23,2,13,NA,-2.743600839,NA,3.879608053
"Newton 2-23-224-1",2,17,2,13,NA,-3.551359064,NA,-2.667041615
"Newton 2-23-227-1",2,15,1,13,NA,2.108245701,-1.872384594,-1.010881884
"Newton 2-23-228-1",2,14,1,13,1.796054392,1.684059843,NA,6.113061614
"Newton 2-23-229-1",2,17,2,13,4.750061641,-4.214097038,NA,10.1186777
"Newton 2-23-235-1",2,17,1,13,NA,1.234529094,-0.610790867,-4.329781489
"Newton 2-23-236-1",2,19,1,13,NA,-0.648191903,-0.728063661,-3.823034685
"Newton 2-23-241-1",2,17,2,13,NA,-6.721058409,-0.394163423,-4.112032952
"Newton 2-23-244-1",2,19,2,13,NA,-2.143119359,NA,0.452509707
"Newton 2-23-245-1",2,17,1,13,NA,-2.753367098,-1.307182882,-0.495638034
"Newton 2-23-247-1",2,22,2,13,NA,-1.829727787,NA,-2.08904508
"Newton 2-23-248-1",2,14,2,13,NA,-1.806665518,-0.421269106,3.026108598
"Newton 2-23-249-1",2,15,1,13,NA,3.274434259,-1.529661485,-2.08904508
"Newton 2-23-253-1",2,15,1,13,NA,-1.555789991,-3.232361579,-2.956039882
"Newton 2-23-256-1",2,16,1,13,NA,4.296892594,-0.654935566,-0.558390719
