,ID,admin,age,sex,zone,gang,family,other,risk
1601,77th 2-13-1391-1,2,18.0,1,2.0,,1.444496396,,-4.040783222
1602,77th 2-13-1396-1,2,19.0,1,2.0,,2.294652894,,-5.485774558999999
1603,Hollenbeck 2-20-70-3,1,17.0,1,8.0,2.216075744,-0.148625685,,-0.480560844
1604,Northeast-20-322-1,1,20.0,1,14.0,-6.010725167,,5.706392501,-2.275749222
1605,77th 2-13-1398-1,2,20.0,1,2.0,,-3.70321853,-1.7830966119999998,-3.389098091
1606,Valley-92-53-1,1,18.0,1,999.0,,3.777384319,0.697946463,10.82842585
1607,77th 2-13-1395-1,2,20.0,1,2.0,,0.627132944,-2.1758155809999997,-4.329781489
1608,77th 2-13-1397-1,2,18.0,1,2.0,,1.595740715,-3.7742812580000002,-4.7989037560000005
1609,Newton 1-17-257-1,1,14.0,2,12.0,,2.186566074,1.099488303,3.0023470530000003
1610,Southwest 1-15-356-2,1,17.0,1,22.0,,-0.19401777,1.047614731,-0.15324115
1611,Hollenbeck 1-20-140-2,2,15.0,1,7.0,-4.172169682,3.4764161660000004,,-2.956039882
1612,Southwest 2-23-92-1,2,16.0,1,23.0,-0.603983336,-3.795381406,-3.82615483,-0.27043096899999997
1613,Newton 1-17-274-1,1,20.0,2,12.0,3.432356862,-10.15757617,,0.9089606570000001
1614,Southwest 2-23-126-1,2,16.0,2,23.0,,1.6948969880000002,2.373878349,-0.339945293
1615,Hollenbeck 1-20-139-2,2,15.0,2,7.0,4.438770556000001,6.692938205,,-2.595791884
1616,Southwest 2-23-115-1,2,19.0,2,23.0,,2.948173582,0.024417433,-2.619184624
1617,Newton 1-17-265-1,1,21.0,1,12.0,2.128775412,-1.355264843,,0.222089853
1618,Valley-92-51-1,1,16.0,1,999.0,,4.592166219,,1.1742264690000002
1619,Southwest 1-15-365-2,1,17.0,2,22.0,,-2.025633625,,5.390460652000001
1620,Southeast 2-20-221-1,1,18.0,1,20.0,,-9.364922284,,3.236056979
1621,Foothill-14-378-1,2,18.0,1,5.0,,0.075041673,,-0.391092355
1622,Newton 1-17-62-2,1,18.0,1,12.0,-2.128024622,2.936430221,-0.974526439,1.076440515
