ID,admin,age,sex,zone,gang,family,other,risk
Foothill-14-240-1,1,15,1,5,NA,NA,NA,-0.445529489
Southeast 3-10-66-2,1,18,2,21,NA,1.583100855,3.109347618,3.252018368
FGCT-0-187-2,1,15,1,2,-4.43312665,0.73229066,-1.388891788,4.043770663
Devonshire-Topanga-11-64-1,1,16,2,4,NA,0.95871434,-1.188424231,-1.908921081
Southeast 3-10-111-1,1,26,2,21,NA,-2.636530135,NA,-3.408349552
Northeast-20-106-2,1,17,1,14,NA,5.594404396,0.042212973,-0.895427472
Harbor-21-141-1,1,17,1,6,1.450488589,1.554269045,2.361082031,-0.773030679
Northeast-20-99-2,1,17,1,14,-2.251553256,0.039428604,NA,2.478787652
77th 3-20-29-1,1,16,1,3,NA,1.069237578,NA,-0.721883616
Newton 1-17-107-1,1,15,2,12,NA,4.175540455,-0.246421377,-2.721478749
Hollenbeck 2-20-46-2,1,25,1,8,NA,NA,NA,-1.619922813
Devonshire-Topanga-11-54-1,1,19,2,4,NA,-6.185828584,NA,-3.525539371
Devonshire-Topanga-11-16-1,2,19,2,4,NA,-5.255811436,2.144454587,1.378082923
CPHBRE-0-29-1,2,17,1,999,-3.085732284,-5.331317943,-3.275627149,1.284318837
Devonshire-Topanga-11-47-1,2,19,1,4,NA,4.82742335,2.127415571,0.49183666
Southwest 1-15-269-1,1,25,2,22,2.430068576,7.436289276,1.429387903,-1.062028946
FGSEARE-0-41-1,1,17,1,999,NA,-3.267049964,NA,1.388503439
Devonshire-Topanga-11-9-2,1,18,2,4,NA,-1.581871204,NA,-1.800046812
CPHBRE-0-56-1,1,18,2,999,3.193618494,-2.014429339,NA,3.281475857
Devonshire-Topanga-11-52-1,1,18,1,4,2.182425312,0.249764441,-1.482395277,0.22556142
Devonshire-Topanga-11-12-2,1,20,1,4,-4.092525674,6.745555407,-0.379611998,-1.459901482
SSSEARE-0-69-1,1,18,1,999,NA,3.873381233,1.324331891,-0.379820632
FGSEARE-0-54-1,1,16,1,999,1.140905797,0.242904224,1.610086792,8.916047657
Newton 2-23-97-1,1,14,2,13,NA,NA,NA,-5.196776292
Newton 2-23-86-1,1,17,2,13,NA,-1.085458977,NA,-5.196776292
Newton 1-17-118-1,1,15,1,12,NA,3.523860858,NA,-1.45661141
Northeast-20-25-2,2,16,2,14,-2.262761457,-0.734797579,3.579410189,2.822223053
CPHBRE-0-53-2,1,17,1,999,2.286519514,2.824650164,1.913153113,-0.137306938
Southwest 2-23-17-1,2,21,1,23,NA,-4.469699052,NA,-3.24503815
CPHBRE-0-61-1,1,17,1,999,3.820672349,-3.176291558,NA,6.491682689
Newton 2-23-101-1,1,14,1,13,NA,-0.731819226,NA,-4.224197292
Newton 2-23-113-1,1,14,2,13,NA,0.830831603,-1.263917312,-1.116466081
Hollenbeck 2-20-48-2,1,19,1,8,NA,4.806769254,1.759072634,6.364441159
Southeast 1-22-51-1,1,16,1,19,0.108426285,-0.159125581,NA,0.546455289
BVCB-0-34-4,1,21,2,22,NA,NA,1.094001809,-2.143482214
Northeast-20-35-2,2,21,2,14,-4.874814029,0.695000398,1.737426254,1.345363292
Devonshire-Topanga-11-13-1,1,18,1,4,2.239686338,5.785436806,2.329368983,1.77129297
CPHBRE-0-62-1,1,18,1,999,2.799460288,3.477391421,-1.103593816,-2.386177403
Hollenbeck 1-20-65-2,1,17,1,7,-0.265069877,0.69691815,-2.617528673,-2.378043347
Southwest 1-15-276-1,1,15,1,22,NA,NA,2.059409303,-1.167613143
Southeast 2-20-99-1,1,17,1,20,-0.872360355,-1.241522923,-3.577814339,-0.832311797
Newton 1-17-128-1,1,14,1,12,NA,-0.308009553,1.475168255,0.277378195
Hollenbeck 1-20-59-2,1,16,2,7,NA,-1.946735857,NA,1.464415659
Southwest 1-15-273-1,1,17,1,22,-2.134799611,4.16542646,NA,-0.066908414
Rampart 1-12-451-1,1,32,1,17,-1.016820729,-1.951984285,NA,-2.272459151
Newton 1-17-121-1,1,14,1,12,NA,-5.081484643,-1.499192233,1.868868338
Devonshire-Topanga-11-46-1,2,18,2,4,NA,NA,NA,-2.612422985
Southeast 3-10-113-1,1,17,1,21,NA,-4.770695836,0.287067289,-0.554403758
Southwest 1-15-277-1,1,21,1,22,-2.488899631,1.673414836,-0.813988075,-2.67517567
CPHBRE-0-60-1,1,15,1,999,3.366620869,1.112759766,NA,6.85107948
